session_id,task,user_success_rating,explanation,motion_data_available,timestamp,planning_time,inference_time,execution_time,total_time,source_file
02458efc-88e6-49f2-8869-a7dade4463d3_move_the_towel_to_the_paper_bag_then_open_the_cabi,move the towel to the paper bag then open the cabinet on the right,True,No additional details provided.,True,2025-09-13T13:00:44.347701,8.64768362045288,4.220008850097656e-05,298.48619389533997,307.1339478492737,02458efc-88e6-49f2-8869-a7dade4463d3_move_the_towel_to_the_paper_bag_then_open_the_cabi.json
03fb7418-7b41-4ca3-8f98-139f39f8936e_open_the_cabinet_on_the_right,open the cabinet on the right,True,No additional details provided.,True,2025-09-13T12:29:38.900681,3.6414248943328857,3.504753112792969e-05,133.9957685470581,137.63726234436035,03fb7418-7b41-4ca3-8f98-139f39f8936e_open_the_cabinet_on_the_right.json
04621174-9357-43f6-9c94-0b3af387ec77_take_the_towel_out_of_the_cabinet_on_the_right,take the towel out of the cabinet on the right,False,wasn't able to get a grip on the towel so did not grasp it before retracting,False,2025-09-13T14:02:19.439081,3.9715073108673096,3.457069396972656e-05,199.54074263572693,203.51231002807617,04621174-9357-43f6-9c94-0b3af387ec77_take_the_towel_out_of_the_cabinet_on_the_right.json
07da3c70-96d7-4b47-8857-2191663e1d15_move_the_towel_to_the_paper_bag_then_open_the_bott,move the towel to the paper bag then open the bottle,True,No additional details provided.,True,2025-09-13T17:41:09.450917,10.514418363571167,3.528594970703125e-05,168.2273554801941,178.74183464050293,07da3c70-96d7-4b47-8857-2191663e1d15_move_the_towel_to_the_paper_bag_then_open_the_bott.json
07f54894-d9e2-4f15-ad44-6cae63f4dd0a_open_the_bottle,open the bottle,True,No additional details provided.,True,2025-09-13T15:01:25.393294,7.440450668334961,2.956390380859375e-05,110.91940259933472,118.35990691184998,07f54894-d9e2-4f15-ad44-6cae63f4dd0a_open_the_bottle.json
0a388a7a-4671-4b1d-a000-1dc843b370a6_move_the_towel_to_the_paper_bag_then_open_the_bott,move the towel to the paper bag then open the bottle,True,No additional details provided.,True,2025-09-13T17:46:47.973226,7.437214612960815,4.00543212890625e-05,176.89761066436768,184.3348903656006,0a388a7a-4671-4b1d-a000-1dc843b370a6_move_the_towel_to_the_paper_bag_then_open_the_bott.json
0b2bd885-4913-4cab-8149-49b1969e2109_open_the_bottle,open the bottle,True,No additional details provided.,True,2025-09-13T16:30:23.868587,6.8251588344573975,5.0067901611328125e-05,115.9105634689331,122.73581528663635,0b2bd885-4913-4cab-8149-49b1969e2109_open_the_bottle.json
0e767931-88d4-46de-9015-523d53fb541c_open_the_bottle,open the bottle,False,tried to detect counter and failed,False,2025-09-13T14:49:14.864479,7.0459678173065186,3.719329833984375e-05,17.97398614883423,25.020014762878418,0e767931-88d4-46de-9015-523d53fb541c_open_the_bottle.json
13363783-b511-44e1-8f58-1c0a34fcffb4_open_the_pen,open the pen.,True,No additional details provided.,True,2025-09-14T11:19:28.299226,11.5899817943573,3.123283386230469e-05,61.77305507659912,73.36309170722961,13363783-b511-44e1-8f58-1c0a34fcffb4_open_the_pen.json
14388edd-bf64-4ca8-99b3-f505d434da58_move_the_towel_to_the_paper_bag_then_open_the_pen,move the towel to the paper bag then open the pen,True,No additional details provided.,True,2025-09-14T13:37:17.845318,8.612579584121704,3.409385681152344e-05,146.03614735603333,154.64878582954407,14388edd-bf64-4ca8-99b3-f505d434da58_move_the_towel_to_the_paper_bag_then_open_the_pen.json
1dc676bc-da19-43d5-bc5e-947f1ef8310f_open_the_pen_then_put_the_cap_in_the_paper_bag,open the pen then put the cap in the paper bag.,True,No additional details provided.,True,2025-09-14T12:08:02.365290,12.13884973526001,3.981590270996094e-05,126.5205545425415,138.65947675704956,1dc676bc-da19-43d5-bc5e-947f1ef8310f_open_the_pen_then_put_the_cap_in_the_paper_bag.json
22344aa0-c416-4d71-9568-de4c9b3d2500_open_the_pen,open the pen.,False,failed to fully remove the cap despite having a good plan,False,2025-09-14T11:13:22.238095,6.471863746643066,3.62396240234375e-05,70.9235291481018,77.39547443389893,22344aa0-c416-4d71-9568-de4c9b3d2500_open_the_pen.json
2361a01e-20d2-4100-babe-edc4bd32f050_open_the_cabinet_on_the_right,open the cabinet on the right,True,No additional details provided.,True,2025-09-13T12:12:55.633680,3.9137823581695557,6.651878356933594e-05,151.82392191886902,155.7378215789795,2361a01e-20d2-4100-babe-edc4bd32f050_open_the_cabinet_on_the_right.json
23a9c57b-1cfb-429a-9954-2924c403b513_open_the_bottle_and_put_the_cap_in_the_paper_bag,open the bottle and put the cap in the paper bag,True,No additional details provided.,True,2025-09-13T17:02:07.351065,5.482780933380127,0.00010371208190917969,135.8521318435669,141.34345078468323,23a9c57b-1cfb-429a-9954-2924c403b513_open_the_bottle_and_put_the_cap_in_the_paper_bag.json
27e7f7fb-252c-4d86-a7bf-1ae8962bac41_take_the_towel_out_of_the_cabinet_on_the_right,take the towel out of the cabinet on the right,True,No additional details provided.,True,2025-09-13T13:55:24.247387,8.745177268981934,5.793571472167969e-05,179.09728407859802,187.84255647659302,27e7f7fb-252c-4d86-a7bf-1ae8962bac41_take_the_towel_out_of_the_cabinet_on_the_right.json
2960ed19-fed8-4e1c-8c0f-314241e77559_open_the_pen_then_put_the_cap_in_the_paper_bag,open the pen then put the cap in the paper bag.,False,"chose side grasp, cap slipped out of the gripper failed to remove cap",False,2025-09-14T12:45:53.427896,10.006359815597534,3.170967102050781e-05,110.32353067398071,120.32994413375854,2960ed19-fed8-4e1c-8c0f-314241e77559_open_the_pen_then_put_the_cap_in_the_paper_bag.json
2ab6f05b-3833-4945-ac16-aaf7b272a87f_move_the_towel_to_the_paper_bag_then_open_the_bott,move the towel to the paper bag then open the bottle,True,No additional details provided.,True,2025-09-13T17:29:15.162407,8.99862289428711,6.222724914550781e-05,158.94386649131775,167.94271302223206,2ab6f05b-3833-4945-ac16-aaf7b272a87f_move_the_towel_to_the_paper_bag_then_open_the_bott.json
2c2ccb12-4d2d-4481-be99-96df8aa717d6_take_the_towel_out_of_the_cabinet_on_the_right,take the towel out of the cabinet on the right,False,tried to detect the counter and failed,False,2025-09-13T13:51:48.166607,10.307520389556885,5.221366882324219e-05,144.4103810787201,154.71798968315125,2c2ccb12-4d2d-4481-be99-96df8aa717d6_take_the_towel_out_of_the_cabinet_on_the_right.json
2f936905-f81b-4dff-8442-7a93c6b7dbcd_move_the_towel_to_the_paper_bag_then_open_the_cabi,move the towel to the paper bag then open the cabinet on the right,False,tried to use a top down grasp for the towel leading to an IK failure,False,2025-09-13T13:06:45.321034,5.063880681991577,7.104873657226562e-05,50.237404584884644,55.301400899887085,2f936905-f81b-4dff-8442-7a93c6b7dbcd_move_the_towel_to_the_paper_bag_then_open_the_cabi.json
312b8d57-0282-4474-89d5-2088fd5ccb48_open_the_pen,open the pen.,True,No additional details provided.,True,2025-09-14T11:40:13.621485,4.809695243835449,3.4332275390625e-05,71.5551609992981,76.36491656303406,312b8d57-0282-4474-89d5-2088fd5ccb48_open_the_pen.json
31a7d79d-e2d7-4586-b83a-402e58731927_open_the_bottle_and_put_the_cap_in_the_paper_bag,open the bottle and put the cap in the paper bag,False,bad grasp point on the bottle pushed it out of the clamp,False,2025-09-13T16:53:15.783901,7.769639492034912,4.696846008300781e-05,112.11632800102234,119.88606262207031,31a7d79d-e2d7-4586-b83a-402e58731927_open_the_bottle_and_put_the_cap_in_the_paper_bag.json
